id,name,description,price,promo_price,image_file,is_featured,category_name
3,Carregador SmartGo Elite Pro USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Adapter

Portas e Conectividade:
•	Total de Saídas: 1
•	Tipo de Porta: USB-C (Tipo-C)

Potência e Carregamento:
•	Potência Total: 20W (Vinte Watts)
•	Tecnologia: Power Delivery (PD)
•	Carregamento: Carregador Turbo

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito inteligente com proteção contra sobrecarga, curto-circuito e superaquecimento.
•	Garantia: 10 anos (conforme indicado na embalagem).
",1.00,1.00,a5044f8531ff959b.jpg,False,Carregadores
4,Cabo SmartGo Elite Pro USB-C para USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Tipo de Conector: USB-C para USB-C (ambas as pontas)

Desempenho e Carregamento:
•	Potência Máxima: 100W (Cem Watts)
•	Tecnologia: Turbo Plus / Power Delivery (PD) 3.0

•	Velocidade de Transferência de Dados: Suporta altas velocidades (geralmente 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade e resistência a nós.
•	Conectores: Pontas de metal (alumínio) para melhor dissipação de calor e maior vida útil.


Segurança e Garantia:
•	Chip de Segurança: Chip E-Marker integrado para negociação segura de alta potência, protegendo os dispositivos contra sobrecarga.
•	Garantia: 12 meses contra defeitos de fabricação (9 meses de garantia contratual junto ao fabricante + 3 meses referentes à garantia legal).

",1.00,,0e254983f8d6104a.jpg,True,Cabos
5,Carregador SmartGo Elite Pro USB + USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Adapter

Portas e Conectividade:
•	Porta 1: USB-C (Tipo-C)
•	Porta 2: USB-A (Padrão)
•	Total de Saídas: 2 (permite carregar dois dispositivos simultaneamente)

Potência e Carregamento:
•	Potência Total: 20W (Vinte Watts)
•	Tecnologia USB-C: Power Delivery (PD) - 
Otimizada para carregamento rápido de iPhones, iPads e dispositivos Android compatíveis.
•	Tecnologia USB-A: Carregamento Turbo - Compatível com protocolos de carregamento rápido como Quick Charge (QC).

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito inteligente com proteção contra sobrecarga, curto-circuito e superaquecimento.
•	Garantia: 10 anos (conforme indicado na embalagem).

",1.00,,942308167a08046c.jpg,False,Carregadores
6,Carregador SmartGo Elite Pro USB-A ,"Modelo:
•	Marca: SmartGo
•	Linha: Smart Force Adapter

Portas e Conectividade:
•	Portas: 2x USB-A (Padrão)
•	Total de Saídas: 2 (permite carregar dois dispositivos simultaneamente)

Potência e Carregamento:
•	Potência Total: 15W (Quinze Watts)
•	Tecnologia: Carregamento Turbo / Fast Charger - Distribui a potência de forma inteligente entre as duas portas para otimizar o tempo de recarga.

Entrada:
•	Tensão: Bivolt (100-240V) - Pode ser usado em qualquer tomada no Brasil.
•	Padrão do Plugue: Padrão brasileiro de 2 pinos redondos.

Segurança e Garantia:
•	Proteções: Circuito com proteção contra sobrecarga e curto-circuito.
•	Garantia: 1 ano (conforme indicado na embalagem).

",1.00,,cb40d87254e30a1a.jpg,False,Cabos
7,Cabo Turbo Elite Pro USB para USB-C,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Conector 1: USB-A (Tradicional)
•	Conector 2: USB-C (Reversível)

Desempenho e Carregamento:
•	Potência Máxima: 100W (Cem Watts) - Nota: Atinge esta potência quando ligado a carregadores e dispositivos compatíveis com tecnologias de carregamento rápido específicas, como o Turbo Plus.
•	Tecnologia: Turbo Plus / Suporte a Quick Charge (QC) e outros protocolos de carregamento rápido via USB-A.
•	Velocidade de Transferência de Dados: Suporta USB 2.0 (até 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade.
•	Conectores: Pontas de metal (alumínio) para maior resistência e dissipação de calor.

Segurança e Garantia:
•	Proteções: Construído para suportar alta corrente de forma segura.
•	Garantia: 10 anos (conforme indicado na embalagem).
",1.00,,9419f54d137d22fb.jpg,False,Cabos
8,Cabo SmartGo Elite Pro USB-A para Lightning,"Modelo:
•	Marca: SmartGo
•	Linha: Elite Pro Cable

Conectividade:
•	Conector 1: USB-A (Tradicional)
•	Conector 2: Lightning (Padrão Apple)

Desempenho e Carregamento:
•	Potência Máxima: 27W (Vinte e sete Watts) - Nota: Atinge esta potência quando ligado a carregadores e iPhones compatíveis com carregamento rápido.
•	Tecnologia: Turbo Plus / Suporte a carregamento rápido para iPhones.
•	Velocidade de Transferência de Dados: Suporta USB 2.0 (até 480Mbps).

Construção e Design:
•	Comprimento: 1.5 metros
•	Material: Cabo revestido com malha de nylon trançado para maior durabilidade.
•	Conectores: Pontas de metal (alumínio) para maior resistência e dissipação de calor.

Segurança e Garantia:
•	Certificação MFi (Made for iPhone/iPad/iPod): Geralmente, cabos de alta qualidade como este possuem certificação MFi, que garante total compatibilidade e segurança com dispositivos Apple.
•	Garantia: 10 anos (conforme indicado na embalagem).

",1.00,,f0bb88bd11581d83.jpg,False,Cabos
9,Fone AURAFIT - AuraBuds X5L - Preto,"Experimente a imersão sonora total com os AuraBuds X5L. Projetados para o máximo conforto e cancelamento de ruído ativo (ANC), eles são perfeitos para o dia a dia, seja no trabalho, no transporte ou em casa. Sinta cada batida da sua música favorita sem interrupções do mundo exterior.

Especificações Técnicas:
•	Modelo: AuraBuds X5L
•	Marca: AURAFIT
•	Tipo: Intra-auricular (In-Ear) com pontas de silicone
•	Conectividade: Bluetooth 5.3 (conexão mais estável e menor consumo de energia)
•	Cancelamento de Ruído: Sim, Cancelamento de Ruído Ativo (ANC) e Modo Transparência.
•	Drivers: Drivers dinâmicos de 10mm para graves potentes e agudos cristalinos.
•	Bateria:
o	Fones: Até 6 horas de reprodução (com ANC desligado).
o	Case de Carregamento: Fornece mais 3-4 cargas completas (total de ~24 horas).
•	Resistência: IPX4 (resistente a suor e respingos d'água).
•	Controles: Controles de toque (Play/Pause, atender chamadas, controlar volume, ativar ANC).
•	Carregamento: Porta USB-C.
",1.00,,9cb658ae1cfe8da2.jpeg,True,Fone de Ouvido
10,Fone AURAFIT - AuraBuds X5L - Branco,"Experimente a imersão sonora total com os AuraBuds X5L. Projetados para o máximo conforto e cancelamento de ruído ativo (ANC), eles são perfeitos para o dia a dia, seja no trabalho, no transporte ou em casa. Sinta cada batida da sua música favorita sem interrupções do mundo exterior.

Especificações Técnicas:
•	Modelo: AuraBuds X5L
•	Marca: AURAFIT
•	Tipo: Intra-auricular (In-Ear) com pontas de silicone
•	Conectividade: Bluetooth 5.3 (conexão mais estável e menor consumo de energia)
•	Cancelamento de Ruído: Sim, Cancelamento de Ruído Ativo (ANC) e Modo Transparência.
•	Drivers: Drivers dinâmicos de 10mm para graves potentes e agudos cristalinos.
•	Bateria:
o	Fones: Até 6 horas de reprodução (com ANC desligado).
o	Case de Carregamento: Fornece mais 3-4 cargas completas (total de ~24 horas).
•	Resistência: IPX4 (resistente a suor e respingos d'água).
•	Controles: Controles de toque (Play/Pause, atender chamadas, controlar volume, ativar ANC).
•	Carregamento: Porta USB-C.


",1.00,,4bc0b7919175c9fa.jpeg,False,Fone de Ouvido
11,Fone AURAFIT - AuraBuds X6 Esportivo - Preto,"Liberdade e segurança para seus treinos. Os AuraBuds X6 foram criados para atletas e pessoas ativas. Com seu design de orelha aberta e condução aérea, eles não entram no seu ouvido, permitindo que você ouça suas músicas e podcasts sem se desconectar do mundo ao seu redor. O encaixe seguro garante que eles permaneçam no lugar, não importa a intensidade do seu movimento.

Especificações Técnicas:
•	Modelo: AuraBuds X6
•	Marca: AURAFIT
•	Tipo: Orelha Aberta (Open-Ear) com gancho de fixação.
•	Conectividade: Bluetooth 5.3
•	Tecnologia de Áudio: Condução Aérea (direciona o som para o ouvido sem bloquear o canal auditivo).
•	Drivers: Drivers de 16.2mm otimizados para um som claro e potente ao ar livre.
•	Bateria:
o	Fones: Até 8 horas de reprodução contínua.
o	Case de Carregamento: Fornece mais 2-3 cargas completas (total de ~30 horas).
•	Resistência: IPX5 (resistente a suor e jatos d'água leves, ideal para corridas e treinos intensos).
•	Controles: Botão físico ou área de toque para fácil acesso durante a atividade física.
•	Carregamento: Porta USB-C.
",1.00,1.00,2106f5e34295a52b.jpeg,False,Fone de Ouvido
12,Fone AURAFIT - AuraBuds X6 Esportivo - Branco ,"Liberdade e segurança para seus treinos. Os AuraBuds X6 foram criados para atletas e pessoas ativas. Com seu design de orelha aberta e condução aérea, eles não entram no seu ouvido, permitindo que você ouça suas músicas e podcasts sem se desconectar do mundo ao seu redor. O encaixe seguro garante que eles permaneçam no lugar, não importa a intensidade do seu movimento.

Especificações Técnicas:
•	Modelo: AuraBuds X6
•	Marca: AURAFIT
•	Tipo: Orelha Aberta (Open-Ear) com gancho de fixação.
•	Conectividade: Bluetooth 5.3
•	Tecnologia de Áudio: Condução Aérea (direciona o som para o ouvido sem bloquear o canal auditivo).
•	Drivers: Drivers de 16.2mm otimizados para um som claro e potente ao ar livre.
•	Bateria:
o	Fones: Até 8 horas de reprodução contínua.
o	Case de Carregamento: Fornece mais 2-3 cargas completas (total de ~30 horas).
•	Resistência: IPX5 (resistente a suor e jatos d'água leves, ideal para corridas e treinos intensos).
•	Controles: Botão físico ou área de toque para fácil acesso durante a atividade física.
•	Carregamento: Porta USB-C.
",1.00,1.00,333a7ee6eb8757ab.jpeg,True,Fone de Ouvido
13,Smartwatch AURAFIT - G12 Trek 2,"Construído para resistir aos elementos, o AURAFIT TREK 2 é o companheiro ideal para suas aventuras. Com certificação de nível militar e GPS integrado, ele foi projetado para trilhas, esportes radicais e o dia a dia de quem não para. Monitore suas atividades com precisão e confiança, não importa onde você esteja.

Especificações Técnicas:
•	Modelo: TREK 2
•	Marca: AURAFIT
•	Design e Durabilidade:
o	Caixa: Polímero reforçado de alta resistência a impactos.
o	Certificação: Padrão Militar MIL-STD-810G (resistente a temperaturas extremas, umidade e quedas).
o	Resistência à Água: 5 ATM & IP68 (adequado para natação em águas abertas e mergulho superficial).
•	Tela:
o	Tipo: IPS Touchscreen de 1.85 polegadas.
o	Resolução: 240x280 pixels, com alto brilho para visibilidade sob a luz do sol.
•	Sensores e Conectividade:
o	GPS: GPS, GLONASS, Galileo integrados para rastreamento preciso de rotas.
o	Saúde: Sensor de Frequência Cardíaca 24h, Oxímetro (SpO2), Monitoramento de Sono e Nível de Estresse.
o	Conectividade: Bluetooth 5.2 de baixo consumo.
•	Bateria:
o	Capacidade: 400mAh.
o	Duração: Até 15 dias de uso típico, até 45 dias em modo stand-by.
•	Funcionalidades:
o	Modos de Esporte: Mais de 100 modos, incluindo trilha, escalada, natação, ciclismo e mais.
o	Inteligentes: Notificações de apps, chamadas e SMS; controle de música; previsão do tempo; bússola.

Disponível na cor: Preto",1.00,1.00,dc007b4c7b202937.jpeg,False,Smart Watch
14,Smartwatch AURAFIT - AM34 Energy 3,"O AURAFIT ENERGY 3 combina o estilo de um relógio clássico com a mais alta tecnologia fitness. Sua tela AMOLED vibrante e a coroa rotativa funcional oferecem uma experiência de uso premium. Monitore sua energia, atenda chamadas diretamente do seu pulso e atinja suas metas de saúde com mais de 120 modos de esporte.

Especificações Técnicas:
Modelo: ENERGY 3
Marca: AURAFIT

Design e Display:
Caixa: Liga de zinco com bezel texturizado e coroa rotativa para navegação.
Tela: AMOLED de 1.43 polegadas, ultra nítida e colorida.
Resolução: 466x466 pixels com modo ""Always-On Display"" (Tela Sempre Ativa).

Sensores e Conectividade:
Chamadas: Microfone e alto-falante integrados para realizar e receber chamadas via Bluetooth.
Saúde: Sensor de Frequência Cardíaca 24h, Oxímetro (SpO2), monitoramento detalhado das fases do sono (REM, profundo, leve).
Conectividade: Bluetooth 5.3.

Bateria:
Capacidade: 300mAh.
Duração: Até 7 dias de uso típico, até 15 dias em modo stand-by.

Funcionalidades:
Modos de Esporte: Mais de 120 modos, com reconhecimento inteligente para atividades como caminhada e corrida.
Inteligentes: Chamadas Bluetooth, notificações de apps, controle de música, assistente de voz, lembretes de sedentarismo e hidratação.

",1.00,1.00,f31386573f0e845e.jpeg,False,Smart Watch
15,Smartwatch AURAFIT - AM05 ,"Elegância clássica encontra a tecnologia inteligente. O AURAFIT AM05 é o smartwatch definitivo para quem não abre mão do estilo. Com um design sofisticado e duas pulseiras inclusas — uma de silicone para o conforto do dia a dia e uma de aço inoxidável para ocasiões especiais — ele se adapta perfeitamente a qualquer momento. Sua tela AMOLED vibrante e a coroa rotativa funcional tornam a navegação uma experiência fluida, enquanto as chamadas via Bluetooth mantêm você conectado sem precisar tirar o celular do bolso.

Especificações Técnicas Completas:

Modelo: AM05
Marca: AURAFIT

Design e Display:
Caixa: Liga de zinco com acabamento premium e bezel minimalista.
Controles: Dois botões laterais, incluindo uma Coroa Rotativa Funcional para navegação intuitiva nos menus e mostradores.
Tela: AMOLED de 1.43 polegadas, com cores vibrantes, pretos profundos e excelente visibilidade.
Resolução: 466 x 466 pixels, garantindo uma imagem ultra nítida.
Mostradores: Dezenas de opções de mostradores digitais, personalizáveis através do aplicativo.
Pulseiras (Inclusas na Caixa):
1x Pulseira de silicone esportiva (preta), ideal para atividades físicas e uso casual.
1x Pulseira de aço inoxidável estilo ""link"" (preta), para um visual mais formal e elegante.

Funcionalidades Principais:
Chamadas via Bluetooth: Microfone e alto-falante de alta qualidade integrados para realizar, atender e recusar chamadas diretamente do pulso.
Notificações Inteligentes: Receba e leia mensagens de WhatsApp, redes sociais, e-mails e outros aplicativos.
Assistente de Voz: Acesse o assistente do seu smartphone (Siri ou Google Assistente) com um comando.
Modos de Esporte: Mais de 100 modos de esporte, incluindo corrida, ciclismo, natação (em piscina), musculação e mais.

Monitoramento de Saúde:
Sensor Cardíaco: Monitoramento contínuo da frequência cardíaca (24/7).
Oxímetro: Medição do nível de oxigênio no sangue (SpO2).
Sono: Análise completa das fases do sono (leve, profundo e REM).
Outros: Monitoramento de estresse, exercícios de respiração e lembretes de sedentarismo.

Bateria e Carregamento:
Duração: Até 7 dias de uso típico ou até 15 dias em modo de economia de energia.

Carregador: Magnético com pino USB, de fácil encaixe.

Resistência:
Certificação IP67: Resistente a poeira e respingos d'água.

Conteúdo da Embalagem:
1x Smartwatch AURAFIT AM05
1x Pulseira de silicone (pré-instalada)
1x Pulseira de aço inoxidável
1x Carregador magnético
1x Manual de Usuário

",1.00,1.00,0d819c98f6688c2d.jpeg,True,Smart Watch
16,Smartwatch AURAFIT - Ella 1 ,"Feito para a mulher moderna que valoriza a beleza em cada detalhe. O AURAFIT Ella 1 é mais que um smartwatch, é uma joia inteligente que adorna seu pulso. Com seu design delicado, caixa em metal rosé e um bisel facetado que reflete a luz, ele complementa seu estilo com um toque de sofisticação. Monitore sua saúde, receba notificações importantes e cuide do seu bem-estar, tudo a partir de um acessório que foi pensado para você.

Especificações Técnicas:
Modelo: Ella 1
Marca: AURAFIT

Design e Display:
Caixa: Design slim e compacto, feito em liga metálica com acabamento polido na cor Rosé Gold.
Bisel: Decorativo, com textura facetada que confere um brilho sutil e elegante.
Tela: AMOLED de 1.1 polegadas, redonda e vibrante, com cores vivas e pretos perfeitos.
Resolução: 360 x 360 pixels, garantindo ícones e textos extremamente nítidos.
Vidro: Vidro curvo 2.5D para uma transição suave entre a tela e a caixa.

Monitoramento de Saúde e Bem-Estar:
Frequência Cardíaca: Monitoramento contínuo (24/7) com alertas para batimentos anormais.

Oxímetro: Medição do nível de oxigênio no sangue (SpO2) sob demanda.
Monitoramento do Ciclo Menstrual: Acompanhe e receba previsões sobre seu ciclo menstrual e período fértil.
Sono: Análise detalhada da qualidade do sono, incluindo fases de sono leve, profundo e REM.
Bem-Estar: Exercícios de respiração guiada para alívio do estresse e lembretes de sedentarismo.

Funcionalidades Inteligentes:
Notificações: Receba alertas de chamadas, mensagens de WhatsApp, redes sociais e outros aplicativos de forma discreta.
Controle de Mídia: Controle a reprodução de músicas do seu smartphone diretamente no pulso.
Câmera Remota: Use o relógio como um disparador remoto para tirar fotos com o celular.
Mostradores: Dezenas de mostradores elegantes e personalizáveis para combinar com seu estilo e humor.
Atividade Física:
Modos de Esporte: Inclui múltiplos modos para atividades populares como caminhada, corrida, ciclismo, ioga e elíptico.
Monitoramento Diário: Contador de passos, calorias queimadas e distância percorrida.

Bateria e Resistência:
Duração da Bateria: Até 7 dias de uso típico com uma única carga.

Carregamento: Carregador magnético USB de fácil conexão.

Resistência à Água: Certificação IP67, resistente a poeira, suor e respingos (não recomendado para natação ou banho).

Disponiveis na cor Rose Gold e Preto",1.00,1.00,5b95e2ae1824a482.jpeg,True,Smart Watch
17,Smartwatch AURAFIT - 10 Ultra Amoled ,"A combinação perfeita de design esportivo e tecnologia de ponta. O AURAFIT 10 Ultra foi feito para quem vive em movimento, com um visual ousado e uma tela Ultra FHD AMOLED que exibe informações com clareza máxima, mesmo sob a luz do sol. Monitore sua performance, atenda chamadas com total liberdade e destaque-se com um smartwatch que acompanha seu ritmo.

Especificações Técnicas:
•	Modelo: 10 Ultra
•	Marca: AURAFIT
Design e Display:
•	Caixa: Corpo metálico com acabamento preto fosco, projetado para durabilidade.
•	Controles: Dois botões laterais, incluindo uma Coroa Rotativa Funcional para facilitar a navegação e a troca de mostradores.
•	Tela: Ultra FHD AMOLED de 1.43 polegadas, com cores intensas e pretos verdadeiros.
•	Resolução: 466 x 466 pixels, oferecendo nitidez e detalhes incríveis.
•	Always-On Display: Mantenha a tela sempre ativa com baixo consumo de energia.
Pulseiras (Inclusas na Caixa):
•	1x Pulseira de silicone esportiva (Laranja): Com design perfurado para melhor ventilação durante atividades físicas.
•	1x Pulseira Magnética (Preta): Para um visual moderno e ajuste prático no dia a dia.
Funcionalidades Principais:
•	Chamadas via Bluetooth Estável: Equipado com chip 2 em 1 e Bluetooth 5.2, permite realizar, atender e falar em chamadas com clareza.
•	Notificações Inteligentes: Receba e leia mensagens de WhatsApp, redes sociais e alertas de aplicativos.
•	Assistente de Voz IA: Ative a Siri ou o Google Assistente diretamente do seu pulso.
•	Player de Música: Controle a música do seu celular ou use o relógio como um alto-falante.
Modos de Esporte:
•	Mais de 70 modos de esporte, incluindo corrida, ciclismo, treino de força, natação em piscina e muitos outros para registrar seus treinos com precisão.
Monitoramento de Saúde:
•	Sensor Cardíaco 24h: Acompanhamento contínuo da sua frequência cardíaca.
•	Oxímetro (SpO2): Meça a saturação de oxigênio no sangue a qualquer momento.
•	Monitoramento de Sono: Analise a qualidade e as fases do seu sono.
•	Outros: Monitoramento de estresse e exercícios de respiração.
Bateria e Carregamento:
•	Duração: Até 7 dias de uso típico e 2.5 dias de uso intenso.
•	Carregador: Magnético, de conexão fácil e rápida.
Resistência:
•	Certificação IP68: Resistente à poeira e à água, incluindo natação em piscina.
Conteúdo da Embalagem:
•	1x Smartwatch AURAFIT 10 Ultra AMOLED
•	1x Pulseira de silicone (Laranja)
•	1x Pulseira Magnética (Preta)
•	1x Carregador magnético
•	1x Manual de Usuário
",1.00,1.00,c0b7157439140f50.jpeg,True,Smart Watch
18,Smartwatch AURAFIT - 10 Mini Silver,"Compacto, estiloso e cheio de funcionalidades. O AURAFIT 10 Mini é o smartwatch ideal para quem busca um design icônico e moderno em um formato mais discreto e confortável. Com uma tela vibrante que vai de ponta a ponta e duas pulseiras para combinar com qualquer ocasião, ele é o parceiro perfeito para o seu dia a dia conectado.

Especificações Técnicas:
•	Modelo: 10 Mini
•	Marca: AURAFIT
Design e Display:
•	Caixa: Design moderno de 41mm, com acabamento em liga metálica e vidro levemente curvado nas bordas.
•	Controles: Coroa rotativa funcional e um botão lateral para navegação e acesso rápido.
•	Tela: Display de alta definição com cores vivas e excelente aproveitamento de tela.
•	Mostradores: Dezenas de mostradores (watch faces) integrados para satisfazer diversas estéticas e combinar com seu estilo.
•	Tela Constante: Opções de tela sempre ativa, tanto no modo digital (número) quanto analógico (mãos), para visualização constante das horas.
Pulseiras (Inclusas na Caixa):
•	1x Pulseira de silicone (preta), perfeita para conforto diário e atividades físicas.
•	1x Pulseira de nylon estilo loop (cinza escuro), para um visual casual e ajuste perfeito.
Funcionalidades Principais:
•	Chamadas via Bluetooth: Faça, atenda e recuse ligações diretamente do seu pulso.
•	Notificações Inteligentes: Receba alertas de mensagens de WhatsApp, redes sociais, e-mails e outros aplicativos.
•	NFC para Controle de Acesso: Configure para abrir portas e fechaduras eletrônicas compatíveis.
•	Assistente de Voz: Acesse o assistente do seu smartphone com um comando.
•	Player de Música: Controle as músicas do seu celular diretamente pelo relógio.
Modos de Esporte:
•	Múltiplos modos de esporte, incluindo corrida, caminhada, ciclismo e outros para acompanhar suas atividades.
Monitoramento de Saúde:
•	Sensor Cardíaco: Monitoramento da frequência cardíaca.
•	Oxímetro (SpO2): Medição do nível de oxigênio no sangue.
•	Sono: Análise da qualidade do seu sono.
Bateria e Carregamento:
•	Duração: Bateria projetada para o uso diário conectado.
•	Carregador: Magnético sem fio (puck), de fácil encaixe.
Resistência:
•	Certificação IP67: Resistente a poeira e respingos d'água (não recomendado para mergulho).
Conteúdo da Embalagem:
•	1x Smartwatch AURAFIT 10 Mini
•	1x Pulseira de silicone (pré-instalada)
•	1x Pulseira de nylon
•	1x Carregador magnético sem fio
•	1x Manual de Usuário
",1.00,1.00,5cdadd616a7c40e9.png,False,Smart Watch
19,Smartwatch AURAFIT - Watch 10 C,"O AURAFIT Watch 10C combina um design familiar e elegante com a praticidade que você precisa para o dia a dia. Com uma tela ampla e a versatilidade de duas pulseiras inclusas, ele se adapta a qualquer estilo, seja para um treino na academia ou para o uso casual. Mantenha-se conectado com notificações e chamadas via Bluetooth diretamente no seu pulso.

Especificações Técnicas:
•	Modelo: Watch 10C
•	Marca: AURAFIT
Design e Display:
•	Caixa: Design retangular de 45mm com acabamento metálico e coroa lateral para navegação.
•	Tela: Tela de alta definição colorida e sensível ao toque.
•	Mostradores: Várias opções de mostradores (watch faces) para personalizar a aparência do relógio.
Pulseiras (Inclusas na Caixa):
•	Conforme a embalagem na foto, o relógio vem com duas pulseiras:
o	1x Pulseira de silicone lisa, ideal para conforto e uso diário.
o	1x Pulseira de nylon trançado (estilo loop), para um visual diferente e ajuste preciso.
Funcionalidades Principais:
•	Chamadas via Bluetooth: Permite fazer e receber ligações diretamente pelo relógio, que possui microfone e alto-falante integrados.
•	Notificações Inteligentes: Receba alertas de mensagens de WhatsApp, redes sociais e outros aplicativos do seu celular.
•	NFC para Controle de Acesso: Pode ser configurado para abrir fechaduras eletrônicas compatíveis.
•	Controle de Mídia: Controle a música que está tocando no seu smartphone.
Saúde e Esportes:
•	Monitoramento de Saúde: Sensores para acompanhamento da frequência cardíaca e nível de oxigênio no sangue (SpO2).
•	Modos de Esporte: Inclui diversos modos para monitorar diferentes atividades físicas.
Bateria e Carregamento:
•	Carregador: Acompanha um carregador magnético sem fio (estilo ""puck"").
•	Duração: Bateria projetada para durar alguns dias, dependendo da intensidade de uso.

Disponíveis nas cores - Preto, Rose Gold e Silver",1.00,1.00,7be0ced6c172e9d4.png,False,Smart Watch
20,Smartwatch AURAFIT - AM18,"Especificações Técnicas - AURAFIT AM18
Construído para resistir e impressionar, o AURAFIT AM18 é o smartwatch para quem enfrenta qualquer desafio. Com um design robusto e uma tela AMOLED vibrante, ele combina durabilidade com tecnologia de ponta. Monitore sua saúde, explore dezenas de modos de esporte e fique conectado com um relógio que está sempre pronto para a próxima aventura.

Especificações Técnicas:
Modelo: AM18
Marca: AURAFIT
Chip principal: JL7012/A6

Design e Display:
Dimensões: Caixa de 51mm e espessura de 13,6mm.
Tela: 1,43 polegadas, tecnologia AMOLED.
Resolução: 466 x 466 pixels, garantindo alta definição.
Toque: Sensível ao toque em toda a tela (full touch).
Peso do dispositivo: 61,6g.

Conectividade e Bateria:
Tipo de Bluetooth: Versão 5.3 + 3.0.
Capacidade da bateria: 300mAh.
Modo de carregamento: Carregador magnético sem fio.

Resistência:
Classificação à prova d'água: IP67, resistente a poeira e respingos.

Conteúdo da Embalagem:
1x Smartwatch AURAFIT AM18
1x Pulseira de silicone com dois tamanhos/seções
1x Carregador magnético sem fio
1x Caixa do produto",1.00,1.00,74ad9a3c07b2c4b4.jpeg,False,Smart Watch
21,Capa de Silicone Ultra Clear MagSafe,"Esta é a Capa Ultra Clear MagSafe. É o modelo que é 100% transparente, sem detalhes extras além do anel MagSafe.
Descrição: A escolha perfeita para quem ama o design original do iPhone. Esta capa é feita com um polímero de alta transparência que não amarela com o tempo, garantindo clareza total para exibir a cor do seu aparelho. Além da proteção essencial contra arranhões e pequenos impactos, ela vem equipada com um anel magnético de alta performance, assegurando alinhamento perfeito e compatibilidade total com todos os acessórios e carregadores MagSafe.
",1.00,,099a89955dad01c5.jpg,False,Capas de Celular
22,Capa de Silicone Bumper Premium ,"Capa Bumper Premium com Suporte e Proteção de Câmera. Ela tem TUDO em um só design.
Descrição: A união definitiva de proteção máxima e design de luxo. Este modelo combina uma traseira transparente com bordas reforçadas (Bumper) que absorvem o impacto de quedas. O anel MagSafe é multifuncional, servindo como um suporte (kickstand) para apoiar o celular. O grande destaque é o módulo de proteção premium das câmeras, com acabamento metalizado e cristais de strass, que adiciona um toque de elegância enquanto protege as lentes.
",1.00,,1159f28b437276df.jpg,True,Capas de Celular
23,Capa de Silicone MagSafe com Suporte,"Experimente a combinação perfeita de toque suave, elegância minimalista e funcionalidade inteligente. Esta capa é construída em silicone líquido de alta qualidade, oferecendo uma pegada firme e confortável que evita escorregões. O design de cor sólida e acabamento fosco complementa perfeitamente o seu iPhone, enquanto o anel MagSafe integrado se transforma em um prático suporte multi-ângulo. É a capa ideal para quem busca proteção, estilo e a conveniência de ter um kickstand sempre à mão.",1.00,,162713fbda6a5735.jpg,True,Capas de Celular
